257: Gate(gate_type='phase', qubits=(15,), theta=np.float64(1.5707963267948966), beta=0.0)
258: Gate(gate_type='xx_plus_yy', qubits=(14, 15), theta=np.float64(0.05066356530433126), beta=0.0)
259: Gate(gate_type='phase', qubits=(15,), theta=np.float64(-1.5707963267948966), beta=0.0)
260: Gate(gate_type='phase', qubits=(6,), theta=np.float64(1.5707963267948966), beta=0.0)
261: Gate(gate_type='xx_plus_yy', qubits=(5, 6), theta=np.float64(1.5707963267948966), beta=0.0)
262: Gate(gate_type='phase', qubits=(6,), theta=np.float64(-1.5707963267948966), beta=0.0)
263: Gate(gate_type='phase', qubits=(14,), theta=np.float64(1.5707963267948966), beta=0.0)
264: Gate(gate_type='xx_plus_yy', qubits=(13, 14), theta=np.float64(1.5707963267948966), beta=0.0)
265: Gate(gate_type='phase', qubits=(14,), theta=np.float64(-1.5707963267948966), beta=0.0)
266: Gate(gate_type='phase', qubits=(5,), theta=np.float64(1.5707963267948966), beta=0.0)
267: Gate(gate_type='xx_plus_yy', qubits=(4, 5), theta=np.float64(1.5707963267948966), beta=0.0)
268: Gate(gate_type='phase', qubits=(5,), theta=np.float64(-1.5707963267948966), beta=0.0)
269: Gate(gate_type='phase', qubits=(13,), theta=np.float64(1.5707963267948966), beta=0.0)
270: Gate(gate_type='xx_plus_yy', qubits=(12, 13), theta=np.float64(1.5707963267948966), beta=0.0)
271: Gate(gate_type='phase', qubits=(13,), theta=np.float64(-1.5707963267948966), beta=0.0)
272: Gate(gate_type='phase', qubits=(4,), theta=np.float64(-1.570796326794896), beta=0.0)
273: Gate(gate_type='xx_plus_yy', qubits=(3, 4), theta=np.float64(0.785398585626286), beta=0.0)
274: Gate(gate_type='phase', qubits=(4,), theta=np.float64(1.570796326794896), beta=0.0)
275: Gate(gate_type='phase', qubits=(12,), theta=np.float64(-1.570796326794896), beta=0.0)
276: Gate(gate_type='xx_plus_yy', qubits=(11, 12), theta=np.float64(0.785398585626286), beta=0.0)
277: Gate(gate_type='phase', qubits=(12,), theta=np.float64(1.570796326794896), beta=0.0)
278: Gate(gate_type='phase', qubits=(3,), theta=np.float64(-1.5707963267948741), beta=0.0)
279: Gate(gate_type='xx_plus_yy', qubits=(2, 3), theta=np.float64(1.5698773832703297), beta=0.0)
280: Gate(gate_type='phase', qubits=(3,), theta=np.float64(1.5707963267948741), beta=0.0)
281: Gate(gate_type='phase', qubits=(11,), theta=np.float64(-1.5707963267948741), beta=0.0)
282: Gate(gate_type='xx_plus_yy', qubits=(10, 11), theta=np.float64(1.5698773832703297), beta=0.0)
